"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","用户排名含隐私遮蔽","","Mon Jul 13 22:00:58 CST 2026","skipped","Mon Jul 13 22:00:58 CST 2026","TestStats","test_stats_security","",""
"","29","非法邮箱 → 400","","Mon Jul 13 21:59:49 CST 2026","passed","Mon Jul 13 21:59:49 CST 2026","TestRegister","test_auth","",""
"注入引号 → 不会引起SQL错误","25","SQL注入尝试 → 安全参化查询","","Mon Jul 13 22:01:04 CST 2026","passed","Mon Jul 13 22:01:04 CST 2026","TestSecurity","test_stats_security","",""
"","35","空用户名返回400","","Mon Jul 13 21:59:42 CST 2026","passed","Mon Jul 13 21:59:42 CST 2026","TestLogin","test_auth","",""
"","153","注册频率限制","","Mon Jul 13 21:59:49 CST 2026","passed","Mon Jul 13 21:59:49 CST 2026","TestRegister","test_auth","",""
"","3","不存在的文件 → 404","","Mon Jul 13 22:00:45 CST 2026","passed","Mon Jul 13 22:00:45 CST 2026","TestFiles","test_projects_files","",""
"","0","用户排名","","Mon Jul 13 22:00:52 CST 2026","skipped","Mon Jul 13 22:00:52 CST 2026","TestStats","test_stats_security","",""
"","3","尝试路径穿越 .. → 403","","Mon Jul 13 22:00:46 CST 2026","passed","Mon Jul 13 22:00:46 CST 2026","TestFileSecurity","test_projects_files","",""
"","0","创建新项目","","Mon Jul 13 22:00:26 CST 2026","skipped","Mon Jul 13 22:00:26 CST 2026","TestProjects","test_projects_files","",""
"","94","错误密码登录失败","","Mon Jul 13 21:59:42 CST 2026","passed","Mon Jul 13 21:59:42 CST 2026","TestLogin","test_auth","",""
"未登录上传 → 401","22","文件上传接口安全校验","","Mon Jul 13 22:01:10 CST 2026","passed","Mon Jul 13 22:01:10 CST 2026","TestSecurity","test_stats_security","",""
"","25","XSS 尝试 → 用户名被转义","","Mon Jul 13 22:01:04 CST 2026","passed","Mon Jul 13 22:01:04 CST 2026","TestSecurity","test_stats_security","",""
"用户名密码正确 → 返回 token","102","正确密码登录成功","","Mon Jul 13 21:59:42 CST 2026","passed","Mon Jul 13 21:59:42 CST 2026","TestLogin","test_auth","",""
"","25","非法密码 → 400","","Mon Jul 13 21:59:49 CST 2026","passed","Mon Jul 13 21:59:49 CST 2026","TestRegister","test_auth","",""
"","4","获取上传文件列表","","Mon Jul 13 22:00:44 CST 2026","passed","Mon Jul 13 22:00:44 CST 2026","TestFiles","test_projects_files","",""
"","24","有效用户 → 成功","","Mon Jul 13 21:59:49 CST 2026","passed","Mon Jul 13 21:59:49 CST 2026","TestForgotPassword","test_auth","",""
